round,home,away,advantage0,score0,advantage1,score1,advantage2,score2,advantage3,score3,advantage4,score4,defense_home,defense_away,cheat,goals,players,result,score_final,link,comment
1,VIL,GRA,-0.9,0:0,0,0:0,-0.1,0:0,0,1:0,0,1:1,0,1,no,0,0,1,4:4,https://www.iqiyi.com/v_19rtcyodz8.html,no comment
1,VAL,RSO,0,0:0,0.2,0:0,0,0:0,0.3,0:0,-0.1,0:0,0,1,no,0,0,1,1:1,https://www.iqiyi.com/v_19rtczon2s.html,no comment
1,MLL,EIB,0.7,1:0,0.1,1:0,0,1:0,-0.1,1:0,0.3,1:0,0,-1,away,1,0,2,2:1,https://www.iqiyi.com/v_19rtczc1og.html,no comment
1,LEG,OSA,0,0:0,0.1,0:0,-0.1,0:0,0,0:0,0,0:0,0,0,no,0,0,0,0:1,https://www.iqiyi.com/v_19rtcxsxxk.html,no comment
1,BET,VLL,-0.1,0:0,0,0:0,0.2,0:0,0,0:0,0,0:0,0,0,no,0,-1,0,1:2,https://www.iqiyi.com/v_19rte4mr40.html,no comment
1,ALA,LEV,0,0:0,0,0:0,0.1,0:0,0.1,0:0,-0.3,0:0,0,0,no,0,0,2,1:0,https://www.iqiyi.com/v_19rtdex9v8.html,no comment
1,ESP,SEV,-0.1,0:0,0,0:0,0,0:0,0.1,0:0,-0.3,0:1,0,1,no,-1,0,0,0:2,https://www.iqiyi.com/v_19rtdcpnyc.html,no comment
1,CEL,RMA,0,0:0,-0.4,0:1,0,0:1,0.1,0:1,-0.1,0:1,0,1,no,-1,0,0,1:3,https://www.iqiyi.com/v_19rt7sv048.html,no comment
1,ATM,GET,0,0:0,0.3,0:0,0.6,1:0,0,1:0,0,1:0,1,0,no,1,0,2,1:0,https://www.iqiyi.com/v_19rte3p7yc.html,no comment
1,ATH,BAR,0.1,0:0,0.1,0:0,0,0:0,0,0:0,0,0:0,1,0,away,0,0,2,1:0,https://www.iqiyi.com/v_19rt7g2ezw.html,no comment
2,OSA,EIB,0,0:0,0,0:0,0,0:0,0.1,0:0,0.4,0:0,0,0,no,0,0,1,0:0,https://www.iqiyi.com/v_19rsz44bms.html,no comment
2,ALA,ESP,0,0:0,0.1,0:0,0.3,0:0,0,0:0,0,0:0,0,-1,away,0,0,1,0:0,https://www.iqiyi.com/v_19rt4pmxjs.html,no comment
2,CEL,VAL,0,0:0,0.3,1:0,-0.3,1:0,0,1:0,-0.3,1:0,0,0,away,1,0,2,1:0,https://www,no comment
2,LEG,ATM,-0.3,0:0,0,0:0,0,0:0,-0.2,0:0,0,0:0,0,0,away,0,0,0,0:1,https://www,no comment
2,MLL,RSO,0.5,0:0,0,0:0,0.1,0:0,-0.1,0:0,-0.6,0:0,1,-1,both,0,0,0,0:1,https://www,no comment
2,GRA,SEV,0,0:0,0,0:0,-0.2,0:0,0.1,0:0,-0.3,0:0,1,1,no,0,0,0,0:1,https://www.iqiyi.com/v_19rsy5z6c0.html,no comment
2,GET,ATH,-0.3,0:1,0.4,1:1,0,1:1,0,1:1,0,1:1,1,1,no,0,0,1,1:1,https://www.iqiyi.com/v_19rsz8q3to.html,no comment
2,RMA,VLL,0.3,0:0,0.8,0:0,0.1,0:0,1,0:0,0,0:0,1,0,no,0,0,1,1:1,https://www,no comment
2,BAR,BET,0.2,0:0,-0.1,0:1,0,0:1,0.3,0:1,0.4,1:1,0,1,no,0,0,2,5:2,https://www.iqiyi.com/v_19rt4tqyfk.html,no comment
2,LEV,VIL,-0.4,0:1,-0.7,0:1,-1,0:1,-0.3,0:1,0,0:1,-1,0,both,-1,0,2,2:1,https://www,no comment
3,GET,ALA,0.1,0:0,0,0:0,0.4,1:0,-0.2,1:1,0,1:1,0,0,no,0,0,1,1:1,https://www.iqiyi.com/v_19rsptu8ks.html,no comment
3,ESP,GRA,0.1,0:0,-0.4,0:1,0.1,0:1,-0.1,0:1,0,0:1,0,1,no,-1,0,0,0:3,https://www.iqiyi.com/v_19rsuxvrc8.html,no comment
3,VIL,RMA,0,0:0,0.4,1:0,-0.2,1:0,-0.6,1:0,-0.5,1:1,0,0,away,0,0,1,2:2,https://www,no comment
3,ATM,EIB,-0.4,0:1,-0.2,0:2,0.3,1:2,0,1:2,0,1:2,0,0,no,-1,0,2,3:2,https://www.iqiyi.com/v_19rsuxx6zc.html,no comment
3,OSA,BAR,0.3,1:0,0,1:0,0,1:0,0,1:0,0,1:0,1,0,no,1,0,1,2:2,https://www.iqiyi.com/v_19rspmo6qw.html,no comment
3,LEV,VLL,-0.1,0:0,0.1,0:0,-0.3,0:0,-0.3,0:0,0.3,0:0,0,0,home,0,0,2,2:0,https://www.iqiyi.com/v_19rsps9lgo.html,no comment
